Bldg:,Room:,Days:,Time:,Class Enrl Tot:
ANTH, 101,Kenan Laboratories,B121,Tu,15:30 - 16:20,19
ANTH, 101,Hanes Art Center,0116,Tu,08:00 - 08:50,20
ANTH, 101,Hamilton Hall,0570,Th,17:00 - 17:50,18
ANTH, 101,Hanes Art Center,0116,Th,15:30 - 16:20,19
ANTH, 101,Hanes Art Center,0116,Tu,12:30 - 13:20,19
ANTH, 101,Hamilton Hall,0420,Tu,11:00 - 11:50,20
ANTH, 101,Hamilton Hall,0523,Tu,09:30 - 10:20,20
ANTH, 101,Alumni,0205,M,08:00 - 08:50,16
ANTH, 101,Alumni,0205,M,09:05 - 09:55,17
ANTH, 101,Alumni,0205,M,10:10 - 11:00,17
ANTH, 101,Alumni,0308,W,09:05 - 09:55,14
ANTH, 101,Alumni,0308,W,10:10 - 11:00,16
ANTH, 101,Alumni,0308,W,11:15 - 12:05,16
ANTH, 101,Alumni,0203,W,12:20 - 13:10,13
ANTH, 101,Alumni,0203,W,13:25 - 14:15,14
ANTH, 101,Alumni,0203,W,14:30 - 15:20,15
ANTH, 102,Manning,0209,MWF,14:30 - 15:20,104
ANTH, 102,Alumni,0308,M,11:15 - 12:05,14
ANTH, 102,Alumni,0207,M,12:20 - 13:10,20
ANTH, 102,Hanes Art Center,0215,M,15:35 - 16:25,19
ANTH, 102,Alumni,0203,M,16:40 - 17:30,19
ANTH, 102,Alumni,0308,W,13:25 - 14:15,18
ANTH, 102,Alumni,0205,W,09:05 - 09:55,14
ANTH, 123,Howell,0115,MWF,11:15 - 12:05,114
ANTH, 123,Alumni,0308,M,09:05 - 09:55,16
ANTH, 123,Alumni,0308,M,10:10 - 11:00,20
ANTH, 123,Bingham,0108,M,15:30 - 16:20,19
ANTH, 123,Alumni,0203,M,12:20 - 13:10,20
ANTH, 123,Alumni,0205,M,13:25 - 14:15,19
ANTH, 123,Alumni,0205,M,14:30 - 15:20,20
ANTH, 145,Chapman Hall,0201,TuTh,15:30 - 16:45,172
ANTH, 145,Alumni,0205,M,15:35 - 16:25,19
ANTH, 145,Alumni,0205,M,16:40 - 17:30,21
ANTH, 145,Alumni,0308,M,17:45 - 18:35,18
ANTH, 145,Alumni,0308,M,12:20 - 13:10,19
ANTH, 145,Alumni,0308,M,13:25 - 14:15,18
ANTH, 145,Alumni,0308,M,14:30 - 15:20,18
ANTH, 145,Alumni,0308,F,11:15 - 12:05,19
ANTH, 145,Alumni,0308,F,12:20 - 13:10,20
ANTH, 145,Alumni,0308,F,13:25 - 14:15,20
ANTH, 147,Chapman Hall,0201,TuTh,09:30 - 10:45,175
ANTH, 147,Carolina Hall,0204,Th,11:00 - 11:50,22
ANTH, 147,Alumni,0308,Th,12:30 - 13:20,20
ANTH, 147,Alumni,0308,Th,14:00 - 14:50,20
ANTH, 147,Alumni,0308,F,08:00 - 08:50,20
ANTH, 147,Alumni,0308,F,09:05 - 09:55,20
ANTH, 147,Alumni,0205,F,10:10 - 11:00,23
ANTH, 147,Alumni,0203,F,15:35 - 16:25,18
ANTH, 147,Alumni,0203,F,16:40 - 17:30,18
ANTH, 147,Alumni,0203,F,17:45 - 18:35,14
ANTH, 148,Peabody,0104,MWF,09:05 - 09:55,91
ANTH, 148,Alumni,0404,Th,12:30 - 13:20,18
ANTH, 148,Alumni,0404,Th,14:00 - 14:50,17
ANTH, 148,Alumni,0404,Th,15:30 - 16:20,20
ANTH, 148,Alumni,0404,Th,17:00 - 17:45,16
ANTH, 148,Alumni,0404,F,15:35 - 16:25,19
ANTH, 148,Alumni,0404,F,16:40 - 17:30,1
ANTH, 151,Hanes Hall,0112,TuTh,15:30 - 16:45,33
ANTH, 175,Rosenau (Public Heal,0133,MW,15:35 - 16:25,28
ANTH, 175,McGavran-Greenberg (,2308,F,15:35 - 16:25,5
ANTH, 175,McGavran-Greenberg (,1304,F,15:35 - 16:25,6
ANTH, 175,McGavran-Greenberg (,1305,F,15:35 - 16:25,6
ANTH, 175,Rosenau (Public Heal,0230,F,15:35 - 16:25,6
ANTH, 175,Wilson,0217,F,15:35 - 16:25,5
ANTH, 202,Bingham,0103,TuTh,11:00 - 12:15,10
ANTH, 202,Dey Hall,0402,Th,14:00 - 14:50,3
ANTH, 202,Phillips,0228,Th,15:30 - 16:20,2
ANTH, 202,Graham Memorial,0038,F,09:05 - 09:55,3
ANTH, 202,Wilson,0202,F,12:20 - 13:10,2
ANTH, 217,Phillips,0383,TuTh,09:30 - 10:45,31
ANTH, 232,Peabody,0218,MWF,10:10 - 11:00,35
ANTH, 234,Greenlaw,0302,TuTh,15:30 - 16:45,3
ANTH, 238,Davie,0112,MWF,10:10 - 11:00,46
ANTH, 238,Alumni,0308,W,14:30 - 15:20,18
ANTH, 238,Alumni,0205,W,15:35 - 16:25,23
ANTH, 238,Alumni,0205,W,16:40 - 17:30,5
ANTH, 250,Gardner,0105,TuTh,14:00 - 15:15,34
ANTH, 252,Venable,G311,TuTh,12:30 - 13:45,38
ANTH, 270,Fetzer Hall,0109,MWF,13:25 - 14:15,104
ANTH, 270,Alumni,0308,F,10:10 - 11:00,19
ANTH, 270,Hanes Art Center,0116,F,11:15 - 12:05,20
ANTH, 270,Alumni,0203,F,12:20 - 13:10,21
ANTH, 270,Alumni,0308,F,14:30 - 15:20,17
ANTH, 270,Alumni,0205,F,15:35 - 16:25,18
ANTH, 270,Alumni,0205,F,16:40 - 17:30,9
ANTH, 278,New West,0219,MWF,10:10 - 11:00,13
ANTH, 280,Manning,0209,MWF,09:05 - 09:55,99
ANTH, 280,Alumni,0205,W,08:00 - 08:55,16
ANTH, 280,Alumni,0205,W,10:10 - 11:00,14
ANTH, 280,Alumni,0205,W,14:30 - 15:20,18
ANTH, 280,Cobb Hall,0024,W,15:35 - 16:25,18
ANTH, 280,Alumni,0203,W,16:40 - 17:30,18
ANTH, 280,Alumni,0203,W,17:45 - 18:35,15
ANTH, 284,Dey Hall,0304,MWF,09:05 - 09:55,32
ANTH, 291,Alumni,0203,TuTh,09:30 - 10:45,25
ANTH, 294,Genome Sciences Buil,1374,MWF,12:20 - 13:10,31
ANTH, 295,TBA,TBA,TBA,TBA,0
ANTH, 315,Alumni,0205,TuTh,12:30 - 13:45,22
ANTH, 318,Howell,0115,TuTh,14:00 - 15:15,103
ANTH, 318,Alumni,0308,Tu,08:00 - 08:50,16
ANTH, 318,Hamilton Hall,0517,Tu,09:30 - 10:20,16
ANTH, 318,Carolina Hall,0204,Tu,11:00 - 11:50,20
ANTH, 318,Hanes Art Center,0215,Tu,12:30 - 13:20,19
ANTH, 318,Wilson,0202,Th,15:30 - 16:20,20
ANTH, 318,Alumni,0203,Th,17:00 - 17:50,12
ANTH, 370,Murphey,0204,TuTh,14:00 - 15:15,22
ANTH, 390,Cobb Hall,0021,Th,09:30 - 12:15,11
ANTH, 390,Fetzer Hall,0104,MWF,11:15 - 12:05,29
ANTH, 395,TBA,TBA,TBA,TBA,1
ANTH, 396,TBA,TBA,TBA,TBA,0
ANTH, 396,TBA,TBA,TBA,TBA,2
ANTH, 396,TBA,TBA,TBA,TBA,1
ANTH, 396,TBA,TBA,TBA,TBA,0
ANTH, 396,TBA,TBA,TBA,TBA,1
ANTH, 396,TBA,TBA,TBA,TBA,1
ANTH, 406,Alumni,0205,MWF,12:20 - 13:10,15
ANTH, 411,Alumni,0404,TuTh,09:30 - 10:45,20
ANTH, 411,Alumni,0404,Tu,11:00 - 12:15,20
ANTH, 414,Alumni,0404,MWF,12:20 - 13:10,13
ANTH, 414L,Alumni,0404,MWF,13:25 - 14:15,13
ANTH, 421,Mitchell,0305,TuTh,14:00 - 15:15,3
ANTH, 429,Dey Hall,0208,TuTh,12:30 - 13:45,13
ANTH, 437,Mitchell,0205,TuTh,09:30 - 10:45,26
ANTH, 443,Hanes Hall,0112,TuTh,14:00 - 15:15,24
ANTH, 448,Hamilton Hall,0452,MWF,11:15 - 12:05,24
ANTH, 458,Murphey,0115,MWF,10:10 - 11:00,15
ANTH, 490,Alumni,0207,MW,14:30 - 15:45,18
ANTH, 490,Alumni,0203,TuTh,11:00 - 12:15,26
ANTH, 490,Alumni,0205,MW,17:45 - 19:00,11
ANTH, 503,Mitchell,0205,TuTh,15:30 - 16:45,8
ANTH, 520,Dey Hall,0304,MWF,13:25 - 14:15,1
ANTH, 541,Dey Hall,0304,MWF,12:20 - 13:10,3
ANTH, 690,TBA,TBA,TBA,TBA,0
ANTH, 691H,Alumni,0203,M,13:25 - 15:55,8
ANTH, 691H,TBA,TBA,TBA,TBA,1
ANTH, 691H,TBA,TBA,TBA,TBA,0
ANTH, 692H,TBA,TBA,TBA,TBA,0
ANTH, 692H,TBA,TBA,TBA,TBA,0
ANTH, 701,Alumni,0308,Tu,09:30 - 12:00,12
ANTH, 703,Alumni,0308,Th,09:30 - 12:00,12
ANTH, 729,TBA,TBA,Tu,15:30 - 18:00,8
ANTH, 750,TBA,TBA,Tu,14:00 - 16:45,7
ANTH, 897,TBA,TBA,Tu,10:15 - 13:00,2
ANTH, 897,Stone Center,0200,W,09:30 - 12:00,9
ANTH, 897,Alumni,0308,Th,15:00 - 18:00,5
ANTH, 898,TBA,TBA,W,12:30 - 15:00,10
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,2
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,2
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,2
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,0
ANTH, 901,TBA,TBA,TBA,TBA,1
ANTH, 993,TBA,TBA,TBA,TBA,1
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,1
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 993,TBA,TBA,TBA,TBA,1
ANTH, 993,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,4
ANTH, 994,TBA,TBA,TBA,TBA,3
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,0
ANTH, 994,TBA,TBA,TBA,TBA,3
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,2
ANTH, 994,TBA,TBA,TBA,TBA,5
ANTH, 994,TBA,TBA,TBA,TBA,2
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,2
ANTH, 994,TBA,TBA,TBA,TBA,1
ANTH, 994,TBA,TBA,TBA,TBA,4
APPL, 110,Phillips,0275,TuTh,11:00 - 12:15,54
APPL, 411,TBA,TBA,W,14:30 - 17:30,13
APPL, 413,TBA,TBA,W,14:30 - 17:30,10
APPL, 490,TBA,TBA,W,14:30 - 17:30,7
APPL, 490,New West,0219,TuTh,14:00 - 15:15,0
ARCH, 393,TBA,TBA,TBA,TBA,0
ARCH, 395,TBA,TBA,TBA,TBA,0
ARCH, 395,TBA,TBA,TBA,TBA,0
ARCH, 396,TBA,TBA,TBA,TBA,0
ARCH, 396,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,1
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,1
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 691H,TBA,TBA,TBA,TBA,0
ARCH, 692H,TBA,TBA,TBA,TBA,0
ARTH,  55H,Hanes Art Center,0116,TuTh,09:30 - 10:45,19
ARTH, 113,Gardner,0105,MW,09:05 - 09:55,115
ARTH, 113,Hanes Art Center,0116,F,10:10 - 11:00,21
ARTH, 113,Hanes Art Center,0116,F,14:30 - 15:20,18
ARTH, 113,Hanes Art Center,0118,F,10:10 - 11:00,20
ARTH, 113,Hanes Art Center,0218,F,09:05 - 09:55,18
ARTH, 113,Hanes Art Center,0116,Th,08:00 - 08:50,19
ARTH, 113,Hanes Art Center,0118,Th,09:55 - 10:45,19
ARTH, 155,Chapman Hall,0125,MW,09:05 - 09:55,65
ARTH, 155,Hanes Art Center,0118,F,09:05 - 09:55,16
ARTH, 155,Hanes Art Center,0116,F,13:25 - 14:15,14
ARTH, 155,Hanes Art Center,0116,F,08:00 - 08:50,17
ARTH, 155,Hanes Art Center,0116,Th,12:30 - 13:20,18
ARTH, 160,Davie,0112,MW,11:15 - 12:05,76
ARTH, 160,YMCA Building,0207,F,11:15 - 12:05,20
ARTH, 160,Hanes Art Center,0118,F,13:25 - 14:15,19
ARTH, 160,Hanes Art Center,0118,F,11:15 - 12:05,20
ARTH, 160,Hanes Art Center,0116,F,09:05 - 09:55,16
ARTH, 242,Bingham,0103,TuTh,14:00 - 15:15,35
ARTH, 268,Murphey,0104,MWF,12:20 - 13:10,21
ARTH, 270,Hanes Art Center,0118,TuTh,08:00 - 09:15,21
ARTH, 277,Hanes Art Center,0117,MWF,13:25 - 14:15,29
ARTH, 285,Hanes Art Center,0218,MWF,10:10 - 11:00,35
ARTH, 360,Hanes Art Center,0117,TuTh,11:00 - 12:15,29
ARTH, 362,Hanes Art Center,0218,TuTh,09:30 - 10:45,28
ARTH, 391,Hanes Art Center,0116,TuTh,14:00 - 15:15,8
ARTH, 464,Murphey,0304,TuTh,12:30 - 13:45,5
ARTH, 551,Hanes Art Center,0117,F,09:05 - 11:45,19
ARTH, 595,TBA,TBA,TBA,TBA,1
ARTH, 691H,TBA,TBA,TBA,TBA,1
ARTH, 691H,TBA,TBA,TBA,TBA,0
ARTH, 691H,TBA,TBA,TBA,TBA,0
ARTH, 691H,TBA,TBA,TBA,TBA,0
ARTH, 691H,TBA,TBA,TBA,TBA,1
ARTH, 691H,TBA,TBA,TBA,TBA,0
ARTH, 691H,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,1
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 750,TBA,TBA,TBA,TBA,3
ARTH, 750,TBA,TBA,TBA,TBA,0
ARTH, 851,Caldwell,0208,TuTh,09:30 - 10:45,9
ARTH, 950,Hanes Art Center,0118,Tu,15:30 - 18:00,6
ARTH, 957,Hanes Art Center,0118,M,15:35 - 18:15,13
ARTH, 991,Hanes Art Center,0218,Th,14:00 - 16:50,4
ARTH, 993,TBA,TBA,TBA,TBA,0
ARTH, 993,TBA,TBA,TBA,TBA,0
ARTH, 993,TBA,TBA,TBA,TBA,0
ARTH, 993,TBA,TBA,TBA,TBA,0
ARTH, 993,TBA,TBA,TBA,TBA,0
