,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
3862,3862,SPHS, 744,Carrington Hall,0208,MW,10:00 - 11:30,26,1900-01-01 10:00:00,1900-01-01 11:30:00
3847,3847,MEJO, 754,Carroll,0011,MW,08:00 - 09:15,5,1900-01-01 08:00:00,1900-01-01 09:15:00
3822,3822,MEJO, 570,Carroll,0011,MW,09:30 - 10:45,15,1900-01-01 09:30:00,1900-01-01 10:45:00
3807,3807,MEJO, 490,Carroll,0011,MW,11:00 - 12:15,32,1900-01-01 11:00:00,1900-01-01 12:15:00
3830,3830,MEJO, 625,Carroll,0011,MW,12:30 - 13:45,20,1900-01-01 12:30:00,1900-01-01 13:45:00
3828,3828,MEJO, 588,Carroll,0011,M,14:00 - 16:45,25,1900-01-01 14:00:00,1900-01-01 16:45:00
3823,3823,MEJO, 570,Carroll,0021,MW,11:00 - 12:15,18,1900-01-01 11:00:00,1900-01-01 12:15:00
3813,3813,MEJO, 522,Carroll,0021,M,13:00 - 13:45,10,1900-01-01 13:00:00,1900-01-01 13:45:00
3779,3779,MEJO, 371,Carroll,0021,MW,17:00 - 18:15,18,1900-01-01 17:00:00,1900-01-01 18:15:00
3729,3729,MEJO, 137,Carroll,0033,MW,09:30 - 10:45,39,1900-01-01 09:30:00,1900-01-01 10:45:00
3790,3790,MEJO, 424,Carroll,0033,MW,12:30 - 13:45,53,1900-01-01 12:30:00,1900-01-01 13:45:00
3786,3786,MEJO, 379,Carroll,0033,MW,14:00 - 15:15,34,1900-01-01 14:00:00,1900-01-01 15:15:00
3793,3793,MEJO, 441,Carroll,0033,MW,15:30 - 16:45,30,1900-01-01 15:30:00,1900-01-01 16:45:00
3760,3760,MEJO, 187,Carroll,0058,MW,10:00 - 11:45,20,1900-01-01 10:00:00,1900-01-01 11:45:00
3803,3803,MEJO, 487,Carroll,0058,MW,12:00 - 13:45,16,1900-01-01 12:00:00,1900-01-01 13:45:00
3808,3808,MEJO, 490,Carroll,0058,MW,14:00 - 15:15,15,1900-01-01 14:00:00,1900-01-01 15:15:00
3827,3827,MEJO, 585,Carroll,0059,MW,08:00 - 09:45,19,1900-01-01 08:00:00,1900-01-01 09:45:00
3802,3802,MEJO, 484,Carroll,0059,MW,10:00 - 11:45,17,1900-01-01 10:00:00,1900-01-01 11:45:00
3755,3755,MEJO, 180,Carroll,0059,MW,12:00 - 13:45,14,1900-01-01 12:00:00,1900-01-01 13:45:00
3829,3829,MEJO, 589,Carroll,0059,MW,14:00 - 15:45,15,1900-01-01 14:00:00,1900-01-01 15:45:00
3756,3756,MEJO, 182,Carroll,0059,MW,17:00 - 18:45,20,1900-01-01 17:00:00,1900-01-01 18:45:00
3759,3759,MEJO, 187,Carroll,0060,MW,08:00 - 09:45,15,1900-01-01 08:00:00,1900-01-01 09:45:00
3753,3753,MEJO, 180,Carroll,0060,MW,10:00 - 11:45,18,1900-01-01 10:00:00,1900-01-01 11:45:00
3754,3754,MEJO, 180,Carroll,0060,MW,12:00 - 13:45,19,1900-01-01 12:00:00,1900-01-01 13:45:00
3826,3826,MEJO, 582,Carroll,0060,MW,14:00 - 15:45,7,1900-01-01 14:00:00,1900-01-01 15:45:00
3757,3757,MEJO, 182,Carroll,0060,MW,16:00 - 17:45,20,1900-01-01 16:00:00,1900-01-01 17:45:00
3878,3878,BIOC, 107,Carroll,0111,MWF,09:05 - 09:55,121,1900-01-01 09:05:00,1900-01-01 09:55:00
2269,2269,PHIL, 160,Carroll,0111,MW,10:10 - 11:00,193,1900-01-01 10:10:00,1900-01-01 11:00:00
904,904,COMP, 411,Carroll,0111,MW,11:15 - 12:30,176,1900-01-01 11:15:00,1900-01-01 12:30:00
2783,2783,JWST, 103,Carroll,0111,MW,13:25 - 14:15,29,1900-01-01 13:25:00,1900-01-01 14:15:00
2808,2808,RELI, 103,Carroll,0111,MW,13:25 - 14:15,277,1900-01-01 13:25:00,1900-01-01 14:15:00
3712,3712,MEJO, 101,Carroll,0111,MW,16:40 - 17:55,287,1900-01-01 16:40:00,1900-01-01 17:55:00
3725,3725,MEJO, 121,Carroll,0132,MW,14:00 - 15:15,19,1900-01-01 14:00:00,1900-01-01 15:15:00
3789,3789,MEJO, 421,Carroll,0132,MW,15:30 - 16:45,19,1900-01-01 15:30:00,1900-01-01 16:45:00
3713,3713,MEJO, 121,Carroll,0132,MW,17:00 - 18:15,20,1900-01-01 17:00:00,1900-01-01 18:15:00
3737,3737,MEJO, 153,Carroll,0141,MW,08:00 - 10:30,15,1900-01-01 08:00:00,1900-01-01 10:30:00
3739,3739,MEJO, 153,Carroll,0141,MW,11:00 - 12:15,20,1900-01-01 11:00:00,1900-01-01 12:15:00
3740,3740,MEJO, 153,Carroll,0141,MW,12:30 - 13:45,20,1900-01-01 12:30:00,1900-01-01 13:45:00
3741,3741,MEJO, 153,Carroll,0141,MW,14:00 - 15:15,19,1900-01-01 14:00:00,1900-01-01 15:15:00
3742,3742,MEJO, 153,Carroll,0141,MW,15:30 - 16:45,19,1900-01-01 15:30:00,1900-01-01 16:45:00
3743,3743,MEJO, 153,Carroll,0141,MW,17:00 - 18:15,20,1900-01-01 17:00:00,1900-01-01 18:15:00
3751,3751,MEJO, 157,Carroll,0142,MW,08:00 - 10:15,17,1900-01-01 08:00:00,1900-01-01 10:15:00
3838,3838,MEJO, 701,Carroll,0142,MW,11:00 - 12:15,14,1900-01-01 11:00:00,1900-01-01 12:15:00
3752,3752,MEJO, 157,Carroll,0142,MW,12:30 - 14:45,19,1900-01-01 12:30:00,1900-01-01 14:45:00
3804,3804,MEJO, 489,Carroll,0142,MW,16:30 - 18:15,14,1900-01-01 16:30:00,1900-01-01 18:15:00
3795,3795,MEJO, 445,Carroll,0143,MW,08:00 - 09:15,24,1900-01-01 08:00:00,1900-01-01 09:15:00
3730,3730,MEJO, 137,Carroll,0143,MW,09:30 - 10:45,36,1900-01-01 09:30:00,1900-01-01 10:45:00
3732,3732,MEJO, 141,Carroll,0143,MW,11:00 - 12:15,48,1900-01-01 11:00:00,1900-01-01 12:15:00
3794,3794,MEJO, 441,Carroll,0143,MW,12:30 - 13:45,37,1900-01-01 12:30:00,1900-01-01 13:45:00
