,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
3244,3244,WGST, 140,Peabody,0306,MWF,12:20 - 13:10,10,1900-01-01 14:25:00,1900-01-01 15:15:00
1991,1991,IDST, 290,Peabody,0306,W,15:35 - 16:25,25,1900-01-01 15:45:00,1900-01-01 16:35:00
3638,3638,EDUC, 601,Peabody,0310,W,17:00 - 18:50,5,1900-01-01 17:00:00,1900-01-01 18:50:00
2868,2868,RELI, 429,Peabody,0311,MWF,10:10 - 11:00,11,1900-01-01 10:10:00,1900-01-01 11:00:00
3182,3182,SOCI, 429,Peabody,0311,MWF,10:10 - 11:00,35,1900-01-01 11:30:00,1900-01-01 12:20:00
3631,3631,EDUC, 533,Peabody,0311,MWF,11:15 - 12:05,45,1900-01-01 12:50:00,1900-01-01 13:40:00
3173,3173,SOCI, 252,Peabody,0311,MWF,13:25 - 14:15,46,1900-01-01 14:10:00,1900-01-01 15:00:00
3180,3180,SOCI, 422,Peabody,0311,MWF,14:30 - 15:20,47,1900-01-01 15:30:00,1900-01-01 16:20:00
2219,2219,MUSC, 204,Person,0110,W,12:20 - 13:10,0,1900-01-01 12:20:00,1900-01-01 13:10:00
2227,2227,MUSC, 211,Person,0110,MW,13:25 - 15:25,60,1900-01-01 13:40:00,1900-01-01 15:40:00
2377,2377,PHYS, 281L,Phillips,0177,W,14:30 - 17:20,13,1900-01-01 14:30:00,1900-01-01 17:20:00
2371,2371,PHYS, 119,Phillips,0206,MW,10:10 - 12:00,32,1900-01-01 10:10:00,1900-01-01 12:00:00
2372,2372,PHYS, 119,Phillips,0206,MW,12:20 - 14:10,35,1900-01-01 12:30:00,1900-01-01 14:20:00
2373,2373,PHYS, 119,Phillips,0206,MW,14:30 - 16:20,21,1900-01-01 14:50:00,1900-01-01 16:40:00
2382,2382,PHYS, 331,Phillips,0206,W,16:40 - 18:40,0,1900-01-01 17:10:00,1900-01-01 19:10:00
2363,2363,PHYS, 118,Phillips,0208,MW,10:10 - 12:00,44,1900-01-01 10:10:00,1900-01-01 12:00:00
2364,2364,PHYS, 118,Phillips,0208,MW,12:20 - 14:10,45,1900-01-01 12:30:00,1900-01-01 14:20:00
2365,2365,PHYS, 118,Phillips,0208,MW,14:30 - 16:20,44,1900-01-01 14:50:00,1900-01-01 16:40:00
2366,2366,PHYS, 118,Phillips,0208,MW,16:40 - 18:30,42,1900-01-01 17:10:00,1900-01-01 19:00:00
2367,2367,PHYS, 118,Phillips,0208,MW,18:50 - 20:40,33,1900-01-01 19:30:00,1900-01-01 21:20:00
383,383,JAPN, 101,Phillips,0212,MTuWTh,08:00 - 08:50,17,1900-01-01 08:00:00,1900-01-01 08:50:00
392,392,JAPN, 203,Phillips,0212,MW,09:05 - 09:55,18,1900-01-01 09:20:00,1900-01-01 10:10:00
302,302,ARAB, 101,Phillips,0212,MTuWTh,14:30 - 15:20,19,1900-01-01 14:30:00,1900-01-01 15:20:00
301,301,ARAB, 101,Phillips,0212,MTuWTh,15:35 - 16:25,17,1900-01-01 15:50:00,1900-01-01 16:40:00
2370,2370,PHYS, 119,Phillips,0215,MWF,09:05 - 09:55,88,1900-01-01 09:05:00,1900-01-01 09:55:00
2082,2082,MATH, 232,Phillips,0215,MWF,10:10 - 11:00,144,1900-01-01 10:25:00,1900-01-01 11:15:00
1313,1313,ECON, 384,Phillips,0215,MW,11:15 - 12:05,9,1900-01-01 11:45:00,1900-01-01 12:35:00
2303,2303,PHIL, 384,Phillips,0215,MW,11:15 - 12:05,81,1900-01-01 13:05:00,1900-01-01 13:55:00
2599,2599,POLI, 384,Phillips,0215,MW,11:15 - 12:05,9,1900-01-01 14:25:00,1900-01-01 15:15:00
2342,2342,PHYS, 100,Phillips,0215,MWF,12:20 - 13:10,75,1900-01-01 15:45:00,1900-01-01 16:35:00
2100,2100,MATH, 233,Phillips,0215,MWF,14:30 - 15:20,136,1900-01-01 17:05:00,1900-01-01 17:55:00
3098,3098,SPAN, 300,Phillips,0220,MWF,09:05 - 09:55,19,1900-01-01 09:05:00,1900-01-01 09:55:00
3006,3006,SPAN, 105,Phillips,0220,MWF,10:10 - 11:00,20,1900-01-01 10:25:00,1900-01-01 11:15:00
3041,3041,SPAN, 203,Phillips,0220,MWF,11:15 - 12:05,20,1900-01-01 11:45:00,1900-01-01 12:35:00
2960,2960,PORT, 102,Phillips,0220,MWF,12:20 - 13:10,23,1900-01-01 13:05:00,1900-01-01 13:55:00
2452,2452,PLCY, 110,Phillips,0220,W,13:25 - 14:15,25,1900-01-01 14:25:00,1900-01-01 15:15:00
2454,2454,PLCY, 110,Phillips,0220,W,14:30 - 15:20,25,1900-01-01 15:45:00,1900-01-01 16:35:00
2393,2393,PHYS, 545,Phillips,0222,MWF,11:15 - 12:05,5,1900-01-01 11:15:00,1900-01-01 12:05:00
3013,3013,SPAN, 105,Phillips,0222,MWF,12:20 - 13:10,19,1900-01-01 12:35:00,1900-01-01 13:25:00
2453,2453,PLCY, 110,Phillips,0222,W,14:30 - 15:20,25,1900-01-01 14:30:00,1900-01-01 15:20:00
2455,2455,PLCY, 110,Phillips,0222,W,15:35 - 16:25,22,1900-01-01 15:50:00,1900-01-01 16:40:00
2124,2124,MATH, 294,Phillips,0222,W,16:40 - 18:00,22,1900-01-01 17:10:00,1900-01-01 18:30:00
2449,2449,PLCY, 101H,Phillips,0224,MWF,10:10 - 11:00,20,1900-01-01 10:10:00,1900-01-01 11:00:00
2097,2097,MATH, 232H,Phillips,0224,MWF,13:25 - 14:15,10,1900-01-01 13:25:00,1900-01-01 14:15:00
2161,2161,MATH, 676,Phillips,0224,MWF,14:30 - 15:20,14,1900-01-01 14:45:00,1900-01-01 15:35:00
2168,2168,MATH, 920,Phillips,0228,MW,13:25 - 14:15,16,1900-01-01 13:25:00,1900-01-01 14:15:00
2705,2705,PSYC, 490,Phillips,0228,MWF,14:30 - 15:20,31,1900-01-01 14:45:00,1900-01-01 15:35:00
69,69,AMST, 235,Phillips,0247,MW,10:10 - 11:00,21,1900-01-01 10:10:00,1900-01-01 11:00:00
1881,1881,HIST, 235,Phillips,0247,MW,10:10 - 11:00,17,1900-01-01 11:30:00,1900-01-01 12:20:00
2339,2339,PHYS,  55,Phillips,0247,MW,11:15 - 12:30,24,1900-01-01 12:50:00,1900-01-01 14:05:00
577,577,BMME, 441,Phillips,0247,MWF,13:25 - 14:15,1,1900-01-01 14:35:00,1900-01-01 15:25:00
2389,2389,PHYS, 441,Phillips,0247,MWF,13:25 - 14:15,40,1900-01-01 15:55:00,1900-01-01 16:45:00
2392,2392,PHYS, 521,Phillips,0247,MWF,14:30 - 15:20,28,1900-01-01 17:15:00,1900-01-01 18:05:00
2052,2052,MATH, 130,Phillips,0265,MWF,08:00 - 08:50,44,1900-01-01 08:00:00,1900-01-01 08:50:00
2135,2135,MATH, 383,Phillips,0265,MWF,09:05 - 09:55,46,1900-01-01 09:20:00,1900-01-01 10:10:00
2136,2136,MATH, 383,Phillips,0265,MWF,11:15 - 12:05,48,1900-01-01 11:15:00,1900-01-01 12:05:00
2144,2144,MATH, 528,Phillips,0265,MWF,12:20 - 13:10,40,1900-01-01 12:35:00,1900-01-01 13:25:00
2128,2128,MATH, 381,Phillips,0265,MWF,13:25 - 14:15,40,1900-01-01 13:55:00,1900-01-01 14:45:00
2478,2478,PLCY, 581,Phillips,0265,MW,14:30 - 15:45,49,1900-01-01 15:15:00,1900-01-01 16:30:00
2355,2355,PHYS, 115,Phillips,0275,MW,10:10 - 12:00,48,1900-01-01 10:10:00,1900-01-01 12:00:00
